# integrated_xsct_v_R_simple.sh
# LO_y_0.0
R central min max
0.03 154.556 122.121 199.006
0.05 154.556 122.121 199.006
0.1 154.556 122.121 199.006
0.2 154.556 122.121 199.006
0.4 154.556 122.121 199.006
0.6 154.556 122.121 199.006
1.0 154.556 122.121 199.006


# NLO_y_0.0
R central min max
0.03 32.1574 -28.8203 62.1096
0.05 54.9321 3.79621 78.4418
0.1 85.6908 47.8477 100.499
0.2 116.682 92.2357 122.739
0.4 148.539 137.864 149.996
0.6 168.407 159.805 169.363
1.0 196.676 180.053 207.266


# NLO_mult_y_0.0
R central min max
0.03 -12.6541 -32.797 11.8951
0.05 16.3233 -4.95174 33.6029
0.1 55.4604 38.173 69.3052
0.2 94.8928 80.4463 105.904
0.4 135.427 121.879 144.795
0.6 160.707 146.47 170.026
1.0 196.676 180.053 207.266


# NLO_mult_narrowband_y_0.0
R central min max
0.03 -12.6541 -39.2834 6.82117
0.05 16.3233 -5.15624 31.0686
0.1 55.4604 40.9369 63.8167
0.2 94.8928 87.3715 96.9157
0.4 135.427 129.21 136.833
0.6 160.707 150.204 164.895
1.0 196.676 180.053 207.266


# NLO+LLR_y_0.0
R central min max
0.03 55.4418 45.596 63.8319
0.05 68.5303 58.2434 76.8916
0.1 89.2899 78.5914 97.3021
0.2 114.035 102.953 121.448
0.4 143.722 131.745 150.792
0.6 164.421 151.176 172.071
1.0 196.676 180.053 207.266


# NLO+LLR_narrowband_y_0.0
R central min max
0.03 55.4418 48.2034 59.3724
0.05 68.5303 61.7915 71.4205
0.1 89.2899 83.8674 90.3326
0.2 114.035 110.402 115.062
0.4 143.722 136.288 144.941
0.6 164.421 153.672 168.608
1.0 196.676 180.053 207.266


# NLO+LLR_mB_y_0.0
R central min max
0.03 54.6907 44.4265 63.5952
0.05 67.6184 56.7503 76.6816
0.1 88.1129 76.553 97.1852
0.2 112.586 100.347 121.529
0.4 142.152 128.909 151.109
0.6 163.094 148.831 172.38
1.0 196.676 180.053 207.266


# NLO+LLR_mB_narrowband_y_0.0
R central min max
0.03 54.6907 47.9933 58.3706
0.05 67.6184 61.5358 70.2399
0.1 88.1129 83.5442 89.1132
0.2 112.586 108.94 113.781
0.4 142.152 134.286 143.967
0.6 163.094 152.002 168.044
1.0 196.676 180.053 207.266


# NLO+LLR_R015_y_0.0
R central min max
0.03 50.7618 40.0641 60.2994
0.05 63.5807 52.1191 73.4792
0.1 84.0565 71.6678 94.2966
0.2 108.626 95.2906 119.195
0.4 138.219 123.499 149.584
0.6 158.82 142.675 171.382
1.0 190.656 171.191 206.766


# NLO+LLR_R015_mB_y_0.0
R central min max
0.03 48.8056 37.6271 59.2319
0.05 61.1534 48.955 72.3161
0.1 80.8628 67.307 93.0349
0.2 104.577 89.5997 117.898
0.4 133.446 116.744 148.301
0.6 154.033 135.969 170.165
1.0 187.293 166.622 205.879


# pseudo_NNLO_y_0.0
R central min max
0.03 -11.184 -11.7617 -3.21575
0.05 12.8339 12.5873 18.89
0.1 47.3253 45.9641 50.5423
0.2 83.9684 82.432 84.3123
0.4 125.531 119.688 127.547
0.6 153.275 143.55 157.981
1.0 196.676 180.053 207.266


# NNLO_mult_y_0.0
R central min max
0.03 -10.7769 -9.56629 -15.5297
0.05 11.8876 10.7387 14.8432
0.1 45.1116 41.0908 49.3183
0.2 80.9947 73.7136 86.6872
0.4 122.837 112.141 130.111
0.6 151.251 138.311 159.673
1.0 196.676 180.053 207.266


# NNLO_mult_narrowband_y_0.0
R central min max
0.03 -10.7769 -11.7464 -5.49747
0.05 11.8876 11.4863 15.3453
0.1 45.1116 44.29 46.7312
0.2 80.9947 77.3208 83.0579
0.4 122.837 115.175 126.899
0.6 151.251 140.396 157.39
1.0 196.676 180.053 207.266


# NNLO+LLR_multA_y_0.0
R central min max
0.03 36.8671 30.7883 42.4072
0.05 49.5012 42.6207 55.5603
0.1 70.6361 62.7518 77.0831
0.2 96.804 87.9257 103.489
0.4 130.396 119.873 137.534
0.6 155.026 142.732 162.896
1.0 196.676 180.053 207.266


# NNLO+LLR_multA_narrowband_y_0.0
R central min max
0.03 36.8671 30.774 40.8956
0.05 49.5012 43.9462 52.6249
0.1 70.6361 65.797 71.9645
0.2 96.804 93.787 97.2366
0.4 130.396 124.036 132.047
0.6 155.026 145.093 159.652
1.0 196.676 180.053 207.266


# NNLO+LLR_multB_y_0.0
R central min max
0.03 32.0121 27.6388 36.3546
0.05 44.5663 39.4324 49.4008
0.1 65.876 59.0048 71.3973
0.2 92.5061 83.8319 98.8437
0.4 127.195 116.049 134.69
0.6 152.828 139.743 161.327
1.0 196.676 180.053 207.266


# NNLO+LLR_multB_narrowband_y_0.0
R central min max
0.03 32.0121 30.0801 33.2951
0.05 44.5663 43.1726 45.2375
0.1 65.876 64.0406 66.4471
0.2 92.5061 88.1237 93.6176
0.4 127.195 119.177 131.024
0.6 152.828 141.818 158.933
1.0 196.676 180.053 207.266


# NNLO+LLR_combined_y_0.0
R central min max
0.03 36.8671 30.7883 42.4072
0.05 49.5012 42.6207 55.5603
0.1 70.6361 62.7518 77.0831
0.2 96.804 87.9257 103.489
0.4 130.396 119.873 137.534
0.6 155.026 142.732 162.896
1.0 196.676 180.053 207.266


# NNLO+LLR_R015_y_0.0
R central min max
0.03 37.9814 28.5672 45.1699
0.05 50.6358 40.5764 58.6413
0.1 71.7432 61.0852 80.5605
0.2 97.8409 86.4346 107.371
0.4 131.14 117.962 141.511
0.6 155.442 140.591 166.652
1.0 196.226 177.393 210.09


# NNLO+LLR_R015_multB_y_0.0
R central min max
0.03 28.5676 23.9702 33.4728
0.05 40.5814 34.8854 46.5136
0.1 61.1753 53.1504 68.8441
0.2 87.0827 76.5144 96.9352
0.4 121.16 107.218 133.917
0.6 146.555 130.066 161.514
1.0 190.609 169.68 209.476


# NNLO+LLR_mexpB_y_0.0
R central min max
0.03 37.0561 33.936 38.8972
0.05 49.0752 46.6402 50.1339
0.1 69.4888 67.5637 70.1486
0.2 95.1566 90.8798 96.0295
0.4 128.619 120.598 132.242
0.6 153.499 142.468 159.531
1.0 196.676 180.053 207.266


# LO_y_0.5
R central min max
0.03 143.009 112.854 184.432
0.05 143.009 112.854 184.432
0.1 143.009 112.854 184.432
0.2 143.009 112.854 184.432
0.4 143.009 112.854 184.432
0.6 143.009 112.854 184.432
1.0 143.009 112.854 184.432


# NLO_y_0.5
R central min max
0.03 30.5747 -25.9823 58.1604
0.05 51.4447 3.97569 73.0985
0.1 79.7142 44.5486 93.3358
0.2 108.188 85.4182 113.739
0.4 137.525 127.524 138.885
0.6 155.837 147.819 156.71
1.0 181.85 166.419 191.6


# NLO_mult_y_0.5
R central min max
